creationdate,exercise
10/8/2020 8:10,1
10/8/2020 8:28,1
10/8/2020 8:40,1
10/8/2020 8:40,1
10/8/2020 8:41,1
10/8/2020 8:42,1
10/8/2020 8:43,1
10/8/2020 8:44,1
10/8/2020 8:45,1
10/8/2020 8:46,1
10/8/2020 8:47,1
10/8/2020 8:48,1
10/8/2020 8:49,1
10/8/2020 8:50,1
10/8/2020 8:51,1
10/8/2020 8:52,1
10/8/2020 8:53,1
10/8/2020 8:54,1
10/8/2020 8:57,1
10/8/2020 8:58,1
10/8/2020 8:59,1
10/8/2020 9:00,1
10/8/2020 9:01,1
10/8/2020 9:02,1
10/8/2020 9:03,1
10/8/2020 9:04,1
10/8/2020 9:05,1
10/8/2020 9:06,1
10/8/2020 9:07,1
10/8/2020 9:08,1
10/8/2020 9:09,1
10/8/2020 9:10,1
10/8/2020 9:11,1
10/8/2020 9:12,1
10/8/2020 9:16,1
10/8/2020 9:24,1
10/8/2020 10:49,1
10/8/2020 17:06,1
10/8/2020 17:07,1
10/8/2020 17:11,1
10/8/2020 18:31,1
10/8/2020 18:35,1
10/8/2020 19:11,1
10/8/2020 20:50,1
10/8/2020 21:08,1
10/8/2020 21:09,1
10/8/2020 21:10,1
10/8/2020 21:11,1
10/8/2020 21:29,1
10/8/2020 21:49,1
10/9/2020 9:09,1
10/9/2020 9:10,1
10/9/2020 9:11,1
10/9/2020 9:12,1
10/9/2020 9:13,1
10/9/2020 9:14,1
10/9/2020 9:15,1
10/9/2020 9:16,1
10/9/2020 9:17,1
10/9/2020 9:18,1
10/9/2020 9:24,1
10/9/2020 9:25,1
10/9/2020 9:26,1
10/9/2020 9:27,1
10/9/2020 9:28,1
10/9/2020 9:29,1
10/9/2020 9:30,1
10/9/2020 9:31,1
10/9/2020 9:32,1
10/9/2020 9:33,1
10/9/2020 9:34,1
10/9/2020 9:35,1
10/9/2020 9:36,1
10/9/2020 9:37,1
10/9/2020 9:38,1
10/9/2020 9:39,1
10/9/2020 9:40,1
10/9/2020 9:41,1
10/9/2020 9:42,1
10/9/2020 9:43,1
10/9/2020 9:44,1
10/9/2020 9:45,1
10/9/2020 9:46,1
10/9/2020 9:47,1
10/9/2020 9:48,1
10/9/2020 9:49,1
10/9/2020 9:50,1
10/9/2020 9:51,1
10/9/2020 9:52,1
10/9/2020 9:53,1
10/9/2020 9:54,1
10/9/2020 9:55,1
10/9/2020 9:56,1
10/9/2020 9:57,1
10/9/2020 9:58,1
10/9/2020 11:40,1
10/9/2020 11:47,1
10/9/2020 11:48,1
10/9/2020 11:49,1
10/9/2020 11:50,1
10/9/2020 11:51,1
10/9/2020 11:52,1
10/9/2020 11:53,1
10/9/2020 11:54,1
10/9/2020 11:55,1
10/9/2020 11:56,1
10/9/2020 11:57,1
10/9/2020 11:58,1
10/9/2020 11:59,1
10/9/2020 12:00,1
10/9/2020 12:01,1
10/9/2020 12:02,1
10/9/2020 12:03,1
10/9/2020 12:04,1
10/9/2020 12:05,1
10/9/2020 12:06,1
10/9/2020 12:07,1
10/9/2020 12:08,1
10/9/2020 12:09,1
10/9/2020 12:10,1
10/9/2020 12:11,1
10/9/2020 12:12,1
10/9/2020 12:13,1
10/9/2020 12:14,1
10/9/2020 12:15,1
10/9/2020 12:19,1
10/9/2020 12:19,1
10/9/2020 12:24,1
10/9/2020 12:24,1
10/9/2020 13:30,1
10/9/2020 15:19,1
10/9/2020 16:16,1
10/10/2020 9:58,1
10/10/2020 9:59,1
10/10/2020 10:02,1
10/10/2020 10:03,1
10/10/2020 10:04,1
10/10/2020 10:05,1
10/10/2020 10:19,1
10/10/2020 10:20,1
10/10/2020 10:23,1
10/10/2020 10:25,1
10/10/2020 10:26,1
10/10/2020 10:27,1
10/10/2020 10:29,1
10/10/2020 10:30,1
10/10/2020 10:31,1
10/10/2020 10:32,1
10/10/2020 10:33,1
10/10/2020 10:34,1
10/10/2020 10:38,1
10/10/2020 10:39,1
10/10/2020 10:40,1
10/10/2020 10:41,1
10/10/2020 10:42,1
10/10/2020 10:43,1
10/10/2020 10:44,1
10/10/2020 10:49,1
10/10/2020 10:50,1
10/10/2020 10:51,1
10/10/2020 10:52,1
10/10/2020 10:53,1
10/10/2020 10:54,1
10/10/2020 10:55,1
10/10/2020 10:56,1
10/10/2020 10:57,1
10/10/2020 10:58,1
10/10/2020 11:02,1
10/10/2020 11:10,1
10/10/2020 11:12,1
10/10/2020 11:13,1
10/10/2020 11:14,1
10/10/2020 11:15,1
10/10/2020 11:19,1
10/10/2020 11:20,1
10/10/2020 11:32,1
10/10/2020 11:33,1
10/10/2020 11:37,1
10/10/2020 11:37,1
10/10/2020 13:05,1
10/10/2020 17:23,1
10/10/2020 17:26,1
10/11/2020 11:39,1
10/11/2020 11:40,1
10/11/2020 11:41,1
10/11/2020 11:42,1
10/11/2020 11:43,1
10/11/2020 11:44,1
10/11/2020 11:45,1
10/11/2020 11:47,1
10/11/2020 11:48,1
10/11/2020 11:49,1
10/11/2020 11:50,1
10/11/2020 11:51,1
10/11/2020 11:52,1
10/11/2020 12:01,1
10/11/2020 12:03,1
10/11/2020 12:04,1
10/11/2020 12:30,1
10/11/2020 12:31,1
10/11/2020 12:32,1
10/11/2020 12:33,1
10/11/2020 12:34,1
10/11/2020 12:35,1
10/11/2020 12:36,1
10/11/2020 12:38,1
10/11/2020 12:39,1
10/11/2020 12:40,1
10/11/2020 12:41,1
10/11/2020 12:56,1
10/11/2020 12:57,1
10/11/2020 13:20,1
10/11/2020 13:35,1
10/11/2020 13:37,1
10/11/2020 13:41,1
10/11/2020 13:58,1
10/11/2020 15:12,1
10/11/2020 15:13,1
10/11/2020 15:16,1
10/11/2020 15:26,1
10/11/2020 15:33,1
10/11/2020 15:46,1
10/11/2020 16:10,1
10/11/2020 17:45,1
10/11/2020 18:10,1
10/11/2020 18:11,1
10/11/2020 18:12,1
10/11/2020 18:13,1
10/11/2020 18:14,1
10/11/2020 18:15,1
10/11/2020 18:16,1
10/11/2020 18:17,1
10/11/2020 18:18,1
10/11/2020 18:19,1
10/11/2020 18:20,1
10/11/2020 18:21,1
10/11/2020 18:22,1
10/11/2020 18:23,1
10/11/2020 18:24,1
10/11/2020 18:25,1
10/11/2020 18:26,1
10/11/2020 18:27,1
10/11/2020 18:28,1
10/11/2020 18:29,1
10/12/2020 11:11,1
10/12/2020 12:39,1
10/12/2020 17:03,1
10/12/2020 18:07,1
10/12/2020 18:07,1
10/12/2020 18:55,1
10/12/2020 19:06,1
10/12/2020 21:52,1
10/12/2020 21:59,1
10/13/2020 7:48,1
10/13/2020 14:33,1
10/13/2020 14:49,1
10/13/2020 15:24,1
10/13/2020 15:32,1
10/13/2020 16:15,1
10/13/2020 17:12,1
10/13/2020 21:53,1
10/13/2020 21:56,1
10/14/2020 7:59,1
10/14/2020 8:32,1
10/14/2020 9:54,1
10/14/2020 12:54,1
10/14/2020 12:57,1
10/14/2020 13:02,1
10/14/2020 17:59,1
10/14/2020 18:05,1
10/14/2020 18:06,1
10/14/2020 18:07,1
10/14/2020 18:08,1
10/14/2020 18:09,1
10/14/2020 18:10,1
10/14/2020 18:11,1
10/14/2020 18:12,1
10/14/2020 18:13,1
10/14/2020 18:14,1
10/14/2020 18:15,1
10/14/2020 18:16,1
10/14/2020 18:20,1
10/14/2020 18:21,1
10/14/2020 18:22,1
10/14/2020 18:23,1
10/14/2020 18:24,1
10/14/2020 18:25,1
10/14/2020 18:26,1
10/14/2020 18:27,1
10/14/2020 18:28,1
10/14/2020 18:29,1
10/14/2020 18:30,1
10/14/2020 18:31,1
10/14/2020 18:32,1
10/14/2020 18:33,1
10/14/2020 18:38,1
10/14/2020 18:39,1
10/14/2020 18:40,1
10/14/2020 18:41,1
10/14/2020 18:42,1
10/14/2020 18:43,1
10/14/2020 18:44,1
10/14/2020 18:45,1
10/14/2020 18:46,1
10/14/2020 18:47,1
10/14/2020 18:48,1
10/14/2020 18:49,1
10/14/2020 18:50,1
10/14/2020 18:51,1
10/14/2020 18:52,1
10/14/2020 18:53,1
10/14/2020 19:22,1
10/14/2020 19:29,1
10/14/2020 21:26,1
10/15/2020 6:19,1
10/15/2020 6:25,1
10/15/2020 6:48,1
10/15/2020 7:19,1
10/15/2020 7:37,1
10/15/2020 7:48,1
10/15/2020 9:43,1
10/15/2020 9:47,1
10/15/2020 9:47,1
10/15/2020 10:53,1
10/15/2020 12:46,1
10/15/2020 17:10,1
10/15/2020 17:11,1
10/15/2020 17:12,1
10/15/2020 17:13,1
10/15/2020 17:14,1
10/15/2020 17:15,1
10/15/2020 17:16,1
10/15/2020 17:17,1
10/15/2020 17:18,1
10/15/2020 17:19,1
10/15/2020 17:20,1
10/15/2020 17:21,1
10/15/2020 17:22,1
10/15/2020 17:23,1
10/15/2020 17:24,1
10/15/2020 17:25,1
10/15/2020 17:26,1
10/15/2020 17:31,1
10/15/2020 17:32,1
10/15/2020 17:33,1
10/15/2020 17:34,1
10/15/2020 17:35,1
10/15/2020 17:36,1
10/15/2020 17:37,1
10/15/2020 17:38,1
10/15/2020 17:39,1
10/15/2020 17:40,1
10/15/2020 17:41,1
10/15/2020 17:42,1
10/15/2020 17:43,1
10/15/2020 17:44,1
10/15/2020 17:45,1
10/15/2020 17:46,1
10/15/2020 17:47,1
10/15/2020 17:48,1
10/15/2020 17:49,1
10/15/2020 17:50,1
10/15/2020 17:51,1
10/15/2020 17:52,1
10/15/2020 17:56,1
10/15/2020 18:00,1
10/15/2020 18:25,1
10/15/2020 18:34,1
10/15/2020 20:00,1
10/15/2020 20:23,1
10/15/2020 23:30,1
10/16/2020 10:02,1
10/16/2020 17:18,1
10/16/2020 17:24,1
10/16/2020 17:27,1
10/16/2020 18:12,1
10/16/2020 18:13,1
10/16/2020 18:14,1
10/16/2020 18:15,1
10/16/2020 18:16,1
10/16/2020 18:17,1
10/16/2020 18:18,1
10/16/2020 18:19,1
10/16/2020 18:20,1
10/16/2020 18:21,1
10/16/2020 18:22,1
10/16/2020 18:23,1
10/16/2020 18:24,1
10/16/2020 18:25,1
10/16/2020 18:26,1
10/16/2020 18:27,1
10/16/2020 18:28,1
10/16/2020 18:29,1
10/16/2020 18:30,1
10/16/2020 18:31,1
10/16/2020 18:32,1
10/16/2020 18:33,1
10/16/2020 18:34,1
10/16/2020 18:35,1
10/16/2020 18:36,1
10/16/2020 18:37,1
10/16/2020 18:38,1
10/16/2020 18:39,1
10/16/2020 18:40,1
10/16/2020 18:41,1
10/16/2020 18:42,1
10/16/2020 18:43,1
10/16/2020 18:44,1
10/16/2020 18:45,1
10/16/2020 18:46,1
10/16/2020 18:47,1
10/16/2020 18:48,1
10/16/2020 18:49,1
10/16/2020 18:50,1
10/16/2020 18:52,1
10/16/2020 19:15,1
10/16/2020 19:15,1
10/16/2020 20:12,1
10/16/2020 20:37,1
10/16/2020 20:38,1
10/16/2020 20:39,1
10/16/2020 20:40,1
10/16/2020 20:41,1
10/16/2020 20:42,1
10/16/2020 20:43,1
10/16/2020 20:44,1
10/16/2020 20:45,1
10/16/2020 20:46,1
10/17/2020 8:57,1
10/17/2020 9:35,1
10/17/2020 9:36,1
10/17/2020 9:37,1
10/17/2020 9:38,1
10/17/2020 9:39,1
10/17/2020 9:40,1
10/17/2020 9:41,1
10/17/2020 9:42,1
10/17/2020 9:43,1
10/17/2020 9:44,1
10/17/2020 9:45,1
10/17/2020 9:46,1
10/17/2020 9:47,1
10/17/2020 9:48,1
10/17/2020 9:49,1
10/17/2020 9:51,1
10/17/2020 9:52,1
10/17/2020 9:53,1
10/17/2020 10:01,1
10/17/2020 10:02,1
10/17/2020 10:03,1
10/17/2020 10:04,1
10/17/2020 10:05,1
10/17/2020 10:06,1
10/17/2020 10:07,1
10/17/2020 10:08,1
10/17/2020 10:09,1
10/17/2020 10:10,1
10/17/2020 10:11,1
10/17/2020 10:12,1
10/17/2020 10:13,1
10/17/2020 10:14,1
10/17/2020 10:15,1
10/17/2020 10:27,1
